,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
1003,7693,3836,252,63,3,1777,95,30,56,33,121637.65,4784.04140625,-0.639479398727417,2694262554624.0,975358787584.0
1004,156,3544,203,47,3,3390,100,2,17,9,160865.8875,5109.785546875,-0.6135156154632568,1190183829504.0,909107920896.0
1005,6380,3824,963,28,3,2664,36,96,65,64,74033.6625,6544.170703125,-0.38324835896492004,6138373341184.0,845303971840.0
1006,7946,319,35,2,0,3807,39,17,3,0,225031.875,7913.046875,-0.34994742274284363,1701319016448.0,412180840448.0
1007,8059,220,126,12,1,583,30,99,8,0,82491.3375,7720.825,-0.33287179470062256,2069298937856.0,662985048064.0
1008,7989,3907,0,15,2,672,22,48,26,33,157740.3375,7282.825,-0.3192562758922577,1415239565312.0,520089796608.0
1009,8186,3389,3,1,1,3807,14,13,18,2,234796.45,8035.19140625,-0.2806034982204437,1579258216448.0,276045430784.0
1010,8045,2139,1536,0,4,7559,94,18,32,61,134624.65,4808.34453125,-0.6357474327087402,9540546330624.0,934911934464.0
1011,809,225,112,11,4,7339,62,31,96,56,159410.6,6295.075,-0.3999652564525604,981997387776.0,909465223168.0
1012,7861,319,896,40,3,4768,64,62,61,30,106354.15,5716.9609375,-0.5018427968025208,6129899798528.0,871056080896.0
1013,7814,3260,388,224,3,546,98,96,15,7,53265.7375,4725.565625,-0.6509805917739868,3366738984960.0,1261112918016.0
1014,6101,1627,19,0,3,668,45,0,0,6,205695.6875,6431.60234375,-0.41191166639328003,1183710707712.0,483510845440.0
1015,6538,3906,248,62,1,1475,98,53,39,3,114096.4125,5556.550390625,-0.6460016965866089,2461702553600.0,964296441856.0
1016,7689,3748,508,60,3,281,55,37,52,26,143555.0875,5984.511328125,-0.46539974212646484,3949712113664.0,750629289984.0
1017,7842,157,79,32,3,484,0,30,0,3,197364.55,7722.47109375,-0.20962873101234436,1787271708672.0,327186251776.0
1018,7541,3620,123,30,3,7473,31,18,2,6,188083.95,6694.24921875,-0.3627321124076843,2215112605696.0,473514868736.0
1019,123,2330,125,35,4,546,19,28,59,8,199177.4125,7650.0203125,-0.2076912820339203,681329885184.0,561881808896.0
1020,7877,2005,124,47,27,1692,99,48,25,33,101193.40625,4693.22734375,-0.6555247902870178,2067832504320.0,1791925682176.0
