,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx,seed_number
400,507,3329,67,1126,61,783,99,73,91,94,152086.0375,104909.475,-0.5042963624000549,459862474752.0,4122672627712.0,0
401,1228,3077,22,25,5,1795,10,56,6,25,260276.45,138614.775,-0.41655799746513367,391891845120.0,613031280640.0,0
402,6196,3513,970,984,47,5069,100,100,36,82,100004.575,64384.98125,-0.7092845439910889,6229916123136.0,3459429433344.0,0
403,1807,3153,9,33,0,182,52,28,22,45,283194.825,126590.3125,-0.6223810315132141,367281963008.0,695145791488.0,0
404,7168,3205,121,17,4,814,75,82,55,42,138930.475,75297.10625,-0.6598766446113586,1897020260352.0,1015919149056.0,0
405,539,3526,0,30,63,892,75,72,91,62,179093.25,119747.2125,-0.4756089746952057,126369284096.0,3074145386496.0,0
406,259,3574,6,1814,44,443,1,5,23,90,347549.4,134290.1,-0.31825608015060425,91967356928.0,3281803018240.0,0
407,4808,3459,246,31,2,4413,26,0,14,44,274437.75,86142.55,-0.5885478258132935,2257482940416.0,420184129536.0,0
408,6968,3481,1061,985,1,7218,99,88,99,92,111616.95,56263.0,-0.7087495923042297,6908622143488.0,2005776465920.0,0
409,7443,2681,566,46,0,3843,91,55,2,34,154138.5625,76102.6375,-0.695602297782898,4333790560256.0,917260599296.0,0
410,831,3076,6,25,0,242,7,3,20,1,424314.8,191376.15,-0.25886455178260803,184208621568.0,206695628800.0,0
411,7379,2437,1481,45,0,3197,22,54,3,34,229876.4,83101.9375,-0.510441243648529,8983883546624.0,502305849344.0,0
412,204,3540,38,15,2,893,11,0,50,14,370566.35,178050.5625,-0.22771088778972626,262648954880.0,305956323328.0,0
413,1528,3477,574,126,32,3648,100,89,7,57,120049.025,101812.2,-0.7087799906730652,3337952952320.0,2264604868608.0,0
414,8,3442,5,1056,4,1011,17,55,57,42,278656.55,160028.85,-0.2473781704902649,63873916928.0,1572580360192.0,0
415,1992,3170,9,1997,63,776,56,12,25,85,240029.65,95613.2,-0.6348646283149719,421155864576.0,4401651515392.0,0
416,723,3580,6,46,2,381,5,6,36,25,348312.125,152425.1125,-0.4154301583766937,170478731264.0,327378403328.0,0
417,7944,3554,126,14,3,4237,59,84,36,37,150516.7625,72914.2125,-0.6382580995559692,2182576865280.0,868495851520.0,0
418,1806,3470,10,1057,18,837,75,4,41,42,225486.55,107310.55,-0.6656830906867981,396122226688.0,2165653110784.0,0
419,7487,3579,1993,23,1,7922,24,0,21,63,272985.425,72307.05,-0.5887432098388672,11796490485760.0,395564613632.0,0
420,7416,3462,254,40,11,3825,66,36,63,88,180595.2875,61005.5875,-0.6529628038406372,2730992861184.0,1133343801344.0,0
421,201,3457,9,101,32,3723,61,56,2,44,217962.2,147358.775,-0.4236660897731781,216885149696.0,1913382764544.0,0
422,6969,3466,54,982,63,3981,96,84,96,91,113113.225,56416.1625,-0.702734649181366,1634870362112.0,3929820626944.0,0
423,243,3530,10,975,13,66,53,7,49,18,291170.05,170496.1,-0.3835641145706177,95909117952.0,1801545056256.0,0
424,7731,3456,1274,27,3,3135,26,36,31,89,225540.925,65695.7375,-0.5896070003509521,7983056551936.0,618792747008.0,0
425,3532,3540,245,15,2,2,27,28,51,12,259173.925,109740.9375,-0.5834303498268127,1869323567104.0,494427602944.0,0
426,7938,3173,1,9,0,7950,68,36,38,91,197191.05,61942.96875,-0.6548064351081848,1676983009280.0,789150040064.0,0
427,215,3581,14,78,4,255,25,85,1,38,238428.35,181107.4125,-0.3039950728416443,118409625600.0,886906552320.0,0
428,7951,3077,105,14,4,4468,51,43,56,5,194418.0,78591.575,-0.6257379651069641,2084702781440.0,706866708480.0,0
429,3527,3474,201,25,0,240,38,2,39,34,297527.3,103210.1625,-0.6036957502365112,1651855327232.0,445691133952.0,0
430,7940,3462,1115,1049,2,7374,99,71,100,92,119879.2,54247.41875,-0.7087734937667847,7359997935616.0,2028346277888.0,0
431,283,3582,0,1118,60,255,21,74,13,57,243039.35,152516.5,-0.3543889820575714,58567032832.0,3583995019264.0,0
432,7467,3526,0,34,0,892,85,72,69,62,149612.6,69021.3375,-0.676360011100769,1332395507712.0,1018330152960.0,0
433,2504,3478,1522,16,16,7871,100,38,59,34,157852.2125,93598.65625,-0.7103376388549805,8515670245376.0,1449471639552.0,0
434,7988,3597,454,16,2,130,95,8,24,38,175597.15,75459.2625,-0.6935122609138489,3719773290496.0,834588114944.0,0
435,48,3570,1,15,7,243,21,65,24,42,286691.875,196305.075,-0.07904236763715744,22340485120.0,846360805376.0,0
436,2240,3086,1525,1004,12,6333,100,89,59,56,117807.475,91314.05,-0.710329532623291,8428967165952.0,2380247072768.0,0
437,7628,3651,774,2,3,3903,27,68,32,65,195361.3625,70138.675,-0.5902901887893677,5433144115200.0,666342260736.0,0
438,6348,3186,1094,35,14,7092,100,89,29,66,107518.1375,68234.6125,-0.7098983526229858,6965055979520.0,1530104905728.0,0
439,68,3460,1,1734,42,124,66,67,8,55,219055.1,173266.8375,-0.29727083444595337,21480960000.0,3777498710016.0,0
440,15,1538,0,114,27,240,26,74,1,53,374355.175,330377.45,0.5788447856903076,11366400000.0,1697368768512.0,0
441,4927,3197,1985,939,1,7170,100,70,99,35,130767.425,75335.24375,-0.7105998396873474,11282454413312.0,1865506881536.0,0
442,15,3570,9,8,4,363,20,84,7,10,270074.375,218737.75,-0.05594538897275925,61933445120.0,764337389568.0,0
443,3864,3577,33,30,7,62,85,89,84,57,130569.2375,84898.65625,-0.6737717986106873,843866963968.0,1282863661056.0,0
444,3532,3466,1034,13,3,242,6,20,0,36,285259.6,106969.7125,-0.5524923205375671,5917759242240.0,370871173120.0,0
445,6336,3570,1481,16,3,7986,5,41,4,57,247467.45,78358.3625,-0.558140218257904,8977020616704.0,449982693376.0,0
446,51,3574,1,126,0,255,24,38,24,41,345104.2,184169.05,-0.266231894493103,23300483072.0,650125246464.0,0
447,0,3578,1,126,59,895,71,47,46,57,226447.65,153294.55,-0.37030935287475586,37769601024.0,2899814383616.0,0
448,2252,3076,1993,20,2,6914,100,62,4,34,145484.25,106852.5125,-0.7097479104995728,10848411058176.0,1067282989056.0,0
449,7859,3554,6,106,1,7826,30,2,4,67,266239.175,71894.15,-0.5981563925743103,1684307050496.0,505419923456.0,0
450,0,3581,1,48,59,243,21,78,47,58,264609.575,180408.525,-0.1290101408958435,13984640000.0,2681140936704.0,0
451,55,3562,6,1598,39,3,71,60,25,40,219358.375,174373.4,-0.3446129858493805,40403841024.0,3553312899072.0,0
452,1332,3574,5,1254,83,436,65,22,15,85,223588.9,101528.0625,-0.648300290107727,273379835904.0,4511490375680.0,0
453,6192,3577,2,47,8,818,26,76,48,90,192769.775,71226.5625,-0.581287145614624,1117983997952.0,938666885120.0,0
454,199,3524,6,985,96,141,52,63,20,70,228082.225,151964.175,-0.36267152428627014,70505603072.0,4821453111296.0,0
455,8,3457,1,26,7,3699,9,27,1,61,323407.225,155506.7625,-0.21142524480819702,141452165120.0,611340910592.0,0
456,2128,3538,249,18,3,13,17,50,6,34,250498.2,123885.9375,-0.5665090084075928,1645796392960.0,566240608256.0,0
457,7620,3446,74,985,5,774,96,72,91,94,122189.825,57478.08125,-0.6988687515258789,1733605326848.0,2054894256128.0,0
458,6660,2687,190,1064,2,62,93,54,93,98,142946.25,60064.06875,-0.6932227611541748,2134434381824.0,1978987446272.0,0
459,1068,3459,385,1,0,258,6,8,62,54,356102.8,121475.1125,-0.4909890592098236,2166529327104.0,292798988288.0,0
460,1269,3469,69,89,62,142,91,51,59,90,169228.825,97331.3875,-0.6799439191818237,579367665664.0,3115244847104.0,0
461,6351,3192,1478,992,14,7347,100,89,34,92,106722.7625,62168.4375,-0.7101557850837708,8940960088064.0,2391949180928.0,0
462,5357,3527,900,34,1,3836,10,76,5,62,215205.6,81699.43125,-0.56423419713974,5680482746368.0,567563976704.0,0
463,7104,3597,1994,83,1,4033,20,69,24,32,209372.1375,79997.00625,-0.5808767080307007,11593068838912.0,602393608192.0,0
464,7988,3091,454,17,2,381,2,4,39,25,293631.05,83480.8125,-0.5458647012710571,3728929980416.0,263453114368.0,0
465,48,3458,1,29,3,7421,26,18,1,58,309764.375,150854.225,-0.299098402261734,284193914880.0,548122918912.0,0
466,7972,3290,318,34,3,898,90,56,96,45,141255.9625,67439.875,-0.6876528859138489,3048684912640.0,1029286264832.0,0
467,7648,3641,1984,111,0,253,42,74,27,61,186230.3375,74311.7,-0.6127296090126038,11498673930240.0,791901962240.0,0
468,4883,3193,1078,91,1,252,100,57,3,34,146557.175,91769.36875,-0.7039202451705933,6378585325568.0,1055315460096.0,0
469,14,2802,1,15,4,148,10,41,7,21,408368.975,297922.25,0.4354681670665741,12956160000.0,543333613568.0,0
470,240,3573,9,9,13,258,53,7,39,18,304199.15,184934.675,-0.2707914412021637,97271046144.0,968504115200.0,0
471,3528,3482,6,17,3,131,3,35,56,34,274584.775,105563.675,-0.540284276008606,649653125120.0,438643818496.0,0
472,6372,3579,1371,22,2,1022,28,64,96,93,201859.1125,64007.9375,-0.5909226536750793,8166041452544.0,728114528256.0,0
473,7968,3354,254,2,4,3709,74,59,56,45,154754.475,68813.0625,-0.6626899242401123,2822853623808.0,925950476288.0,0
474,4081,3461,62,33,4,895,71,47,47,58,179184.0,86147.01875,-0.6536698341369629,1060510040064.0,947978633216.0,0
475,968,3462,6,1250,35,304,70,80,15,84,165756.0125,109774.375,-0.5852097272872925,210319376384.0,3200739180544.0,0
476,48,3570,1,18,4,770,27,43,38,89,291972.525,152895.15,-0.15706926584243774,41565433856.0,751258238976.0,0
477,6914,3226,310,37,0,7293,97,3,82,42,191919.475,68115.24375,-0.7061446905136108,3056837591040.0,839519633408.0,0
478,7940,3290,65,46,3,7410,93,41,96,42,147135.3875,64550.1625,-0.6968747973442078,1985312063488.0,1007275999232.0,0
479,1587,3461,45,16,0,7811,27,22,63,50,301847.85,101592.45625,-0.5918013453483582,791610261504.0,496459382784.0,0
480,1591,3477,10,21,15,7950,90,91,14,85,126795.725,90475.3875,-0.6892054080963135,618177232896.0,1602089254912.0,0
481,63,3578,1,1646,59,893,72,5,41,57,260707.775,142976.625,-0.4093090891838074,48663674880.0,4041126182912.0,0
482,3128,3492,6,25,25,130,4,35,40,90,273226.4,91699.6375,-0.5423195958137512,579984687104.0,1234987515904.0,0
483,7596,3651,1017,0,3,4291,4,74,32,58,213041.95,73053.45,-0.5544987320899963,6685887823872.0,542593449984.0,0
484,203,3505,2,464,12,898,9,4,54,50,340405.65,146960.5125,-0.31649747490882874,78337277952.0,1074319196160.0,0
485,7460,3462,1,1977,63,60,100,72,99,33,120718.375,70489.4875,-0.7044466137886047,1305945571328.0,4718374420480.0,0
486,308,3462,5,792,50,196,27,10,23,88,314419.5,140575.325,-0.33660459518432617,86366715904.0,2781540515840.0,0
487,496,3461,18,23,0,7835,27,41,63,10,305098.1,139302.4,-0.4250330924987793,464324460544.0,554813554688.0,0
488,6371,3303,582,991,1,7869,100,64,29,44,132379.575,73648.66875,-0.7101085782051086,4375964811264.0,1854266933248.0,0
489,19,3581,1,105,4,253,6,10,30,90,356975.925,159844.0,-0.19988305866718292,17656956928.0,551642398720.0,0
490,3120,3570,1013,11,3,234,7,20,0,21,287501.225,115216.675,-0.5538604855537415,5738226778112.0,357158486016.0,0
491,3849,3578,22,33,3,1906,44,35,39,57,219840.15,87682.075,-0.610946536064148,852204781568.0,709934317568.0,0
492,15,3079,14,20,1,1676,4,27,6,9,394369.55,216932.0,0.07767658680677414,135431692288.0,329278357504.0,0
493,1328,3337,41,983,14,460,94,22,14,85,190724.0,102174.9875,-0.6707973480224609,457879060480.0,2204957933568.0,0
494,1332,3462,5,1255,82,184,25,21,16,88,275112.85,105893.7875,-0.5731729865074158,264186920960.0,4242353946624.0,0
495,988,3506,0,484,56,3203,72,4,92,57,230311.2,97341.24375,-0.6240191459655762,288836485120.0,2927206334464.0,0
496,4524,3697,1534,15,3,7987,0,22,27,62,277559.6,82204.575,-0.5502837896347046,8932982521856.0,384761102336.0,0
497,308,3574,5,798,51,459,39,9,8,85,293495.15,134110.25,-0.3958212435245514,95960956928.0,2878618206208.0,0
498,7944,3093,73,14,4,52,1,86,24,10,209055.6375,89589.40625,-0.538714587688446,1758548459520.0,544278806528.0,0
499,6352,3462,1221,999,2,1905,100,96,32,24,106074.575,78787.06875,-0.7064247727394104,7426770206720.0,1952600948736.0,0
500,488,3577,6,18,0,130,60,72,59,93,234706.225,121981.1,-0.43880054354667664,120413454336.0,1071538044928.0,0
501,203,3469,6,25,7,114,6,0,46,61,379000.9,177062.7375,-0.10195456445217133,70216957952.0,509300080640.0,0
502,7987,3545,982,25,2,6605,1,0,54,29,294462.8,76592.11875,-0.551767885684967,6659166961664.0,265494724608.0,0
503,515,3579,6,233,12,76,6,3,20,93,338921.175,126882.3125,-0.38415542244911194,123143692288.0,891599323136.0,0
504,7838,3161,279,1449,38,6417,73,90,99,90,129925.4375,56518.74375,-0.6674066185951233,3027011108864.0,3419721170944.0,1
505,4485,2020,785,68,0,3068,58,97,9,10,170595.425,119376.65,-0.3925498127937317,4911870771200.0,901813501952.0,1
506,1475,3353,15,1254,2,4732,62,65,41,26,186272.1125,113044.8375,-0.6444946527481079,506191413248.0,1935819407360.0,1
507,2394,3201,119,190,0,947,70,92,43,95,158569.375,87558.7875,-0.659148097038269,1060574199808.0,1245409837056.0,1
508,3772,3565,557,78,5,5179,93,29,41,56,165944.175,80541.775,-0.6983529925346375,3697399562240.0,1081360384000.0,1
509,1973,3187,22,322,4,7761,38,0,9,37,273452.9,110723.625,-0.6106770634651184,739221110784.0,805153406976.0,1
510,3164,3472,499,109,7,5051,52,34,37,85,210920.75,79603.09375,-0.6328058242797852,3289929220096.0,986951712768.0,1
511,5044,2609,223,239,9,4545,83,95,79,58,121791.5875,73147.1,-0.6683944463729858,2185620881408.0,1500777414656.0,1
512,7706,3131,65,240,4,259,53,66,40,90,171866.7875,66524.76875,-0.6291236281394958,1683708837888.0,1088738295808.0,1
513,7872,2814,411,390,4,1756,38,97,25,84,158526.175,67777.85,-0.6073429584503174,3538736906240.0,1203593412608.0,1
514,5195,3073,21,50,10,1035,45,77,44,65,176064.0125,80756.725,-0.6128979921340942,1049622478848.0,1094825213952.0,1
515,7194,3161,3,589,37,491,78,67,44,82,145877.1125,66737.275,-0.6694740056991577,1285603196928.0,2587747155968.0,1
516,3762,2826,24,93,7,2559,23,40,29,16,242183.55,104338.96875,-0.5842987298965454,871121420288.0,727120805888.0,1
517,3101,3090,499,113,7,3147,90,93,37,51,121943.8125,90102.10625,-0.6927545666694641,3209504489472.0,1367573528576.0,1
518,7684,3464,958,178,4,2323,53,67,40,90,169282.7,63532.675,-0.6319828629493713,6327334076416.0,1032915124224.0,1
519,4461,2669,429,46,4,5083,80,93,55,58,127715.8125,78810.925,-0.6724734902381897,3158478684160.0,1148665987072.0,1
520,6437,3964,9,109,22,620,48,82,40,58,165388.1875,76454.1,-0.6207364797592163,1189250465792.0,1539647995904.0,1
521,5037,3220,60,170,32,1772,76,74,49,86,145240.3,70493.8875,-0.6681604981422424,1248683491328.0,2100227080192.0,1
522,7194,3161,3,690,37,491,78,67,44,82,145839.925,66669.39375,-0.6694978475570679,1285603196928.0,2674821693440.0,1
523,3768,3567,34,46,5,4156,82,30,80,58,177720.95,77013.0125,-0.6771987080574036,981624422400.0,1013441757184.0,1
524,7360,3232,626,76,6,6563,77,40,43,62,166056.1,66950.0375,-0.6733627319335938,4725766881280.0,1035754405888.0,1
525,5332,3054,1732,64,3,4790,7,81,37,94,205727.5125,71198.66875,-0.5612042546272278,9970773917696.0,700046245888.0,1
526,7189,3161,3,589,37,491,78,67,44,82,145884.0,66748.64375,-0.6694746017456055,1284732747776.0,2587784904704.0,1
527,7684,3351,1457,146,4,5522,74,67,86,89,146917.475,57826.13125,-0.6684756875038147,8998911737856.0,1145367691264.0,1
528,695,3309,44,294,5,1183,87,61,21,90,171079.15,110373.675,-0.5241122245788574,389421465600.0,1431702601728.0,1
529,588,3520,32,636,54,356,71,35,94,90,214211.475,101799.91875,-0.5183343291282654,279185948672.0,3160480940032.0,1
530,7162,3777,712,142,37,5352,91,92,89,71,112404.9625,60672.19375,-0.6952759623527527,5087441190912.0,2341054709760.0,1
531,505,3703,96,690,7,2350,41,36,87,89,239528.1,94321.95625,-0.5138460397720337,665158352896.0,1487927640064.0,1
532,7684,3151,929,77,7,2333,5,66,21,90,219819.95,68491.1625,-0.5554515719413757,6179218522112.0,755906445312.0,1
533,6021,3041,1021,129,7,3156,90,93,57,83,114124.575,64414.725,-0.6925509572029114,6390787080192.0,1381297160192.0,1
534,6500,3230,1033,173,1,7572,65,83,40,94,149981.625,64096.0625,-0.6543400287628174,6696706506752.0,1074764840960.0,1
535,7789,2636,37,976,4,28,81,66,40,70,143645.475,68970.35,-0.6682440638542175,1546370547712.0,1858540666880.0,1
536,4936,2582,15,179,5,448,23,64,89,17,215244.3,95242.8125,-0.547099769115448,952401920000.0,843441111040.0,1
537,7060,3972,553,78,5,5214,45,29,41,39,212216.25,74190.125,-0.6215847730636597,4250571112448.0,758729408512.0,1
538,569,3873,2,940,38,3722,77,77,58,61,157277.675,102439.825,-0.6271049380302429,245070069760.0,3028643217408.0,1
539,4285,3563,592,78,4,5580,69,1,89,71,213855.1,70584.075,-0.6607258319854736,3980531335168.0,860514287616.0,1
540,6603,3187,22,318,18,7774,38,27,21,69,222562.025,71755.58125,-0.6113607287406921,1545685827584.0,1367840260096.0,1
541,7752,2801,355,240,4,478,83,94,73,91,119289.2875,61132.3,-0.6776567101478577,3184505651200.0,1355753848832.0,1
542,2362,3959,122,973,1,5598,40,59,84,94,210623.775,75764.61875,-0.6141787171363831,1240032083968.0,1609578315776.0,1
543,2297,3735,123,605,5,2478,81,67,36,85,152707.775,82422.425,-0.6776752471923828,1120019283968.0,1640758902784.0,1
544,2146,3169,21,77,5,1080,42,78,44,62,189965.7625,104227.36875,-0.611039400100708,520494088192.0,991495716864.0,1
545,4229,3449,104,125,7,626,55,44,49,35,199707.7125,92494.0875,-0.6328797936439514,1291500781568.0,989978951680.0,1
546,7692,3374,522,2,6,6549,89,35,42,6,158087.25,76613.4,-0.6897801160812378,4250571112448.0,952782553088.0,1
547,2066,3091,10,381,7,4684,89,62,54,59,152643.3,93292.18125,-0.6922008991241455,581721718784.0,1529694650368.0,1
548,3804,3758,540,168,4,5204,92,3,57,71,185910.525,74035.0125,-0.6968461871147156,3616842711040.0,1068151930880.0,1
549,4359,3062,1296,103,3,3072,30,36,26,31,232626.825,92030.0375,-0.5967336893081665,7506400116736.0,644462673920.0,1
550,946,3942,15,556,57,387,78,63,44,6,175605.7,131439.925,-0.6694124341011047,255597461504.0,3220398669824.0,1
551,7323,3246,1279,211,14,7729,92,83,72,89,117494.4125,58206.1875,-0.6977229118347168,8105221947392.0,1661599612928.0,1
552,1349,3249,7,1202,0,963,21,61,43,65,253559.15,110077.2125,-0.5365660190582275,305804115968.0,1657387745280.0,1
553,4491,3573,232,86,4,2442,16,39,22,45,243498.35,87789.675,-0.5732687711715698,2058717626368.0,603939667968.0,1
554,7686,3342,1086,179,4,3564,5,67,39,99,217935.775,64487.9625,-0.556969940662384,7028313423872.0,770927820800.0,1
555,3889,2834,247,62,7,2611,11,94,6,8,197455.225,107588.5375,-0.5651895999908447,2036886405120.0,787491323904.0,1
556,4409,3121,481,76,0,3117,5,93,26,2,212606.55,101724.625,-0.5579859614372253,3343946874880.0,565421015040.0,1
557,2930,3473,14,76,5,960,22,65,40,30,221675.95,108816.35,-0.5783804655075073,616755298304.0,764321988608.0,1
558,5707,2561,22,145,6,4708,78,95,47,61,125488.2875,72929.70625,-0.6479294300079346,1277862346752.0,1273426608128.0,1
559,2547,3520,40,643,6,3404,89,61,46,37,151034.35,95019.6,-0.6913442015647888,772359651328.0,1674102964224.0,1
560,7195,3930,252,1362,41,3691,73,67,98,93,148231.75,56921.225,-0.6656327843666077,2677393063936.0,3382888366080.0,1
561,7907,3175,470,85,4,5869,73,93,98,89,127599.075,56721.61875,-0.6671897768974304,3996951773184.0,1164160925696.0,1
562,1668,3533,495,190,0,7029,94,92,55,70,133372.7,90304.35625,-0.7021732330322266,3081183166464.0,1348984373248.0,1
563,7559,3348,460,157,4,6802,75,66,41,89,147111.2625,61335.7,-0.6701506972312927,3919207464960.0,1135696936960.0,1
564,4185,3046,20,178,5,1592,43,12,93,49,241629.95,83593.73125,-0.6159977316856384,889001017344.0,835279257600.0,1
565,3898,2286,145,187,0,6091,6,2,43,15,338041.0,111516.075,-0.42026710510253906,1643163287552.0,356177510400.0,1
566,1202,3472,14,435,5,480,9,32,73,5,286556.75,133757.3375,-0.5340083837509155,298434560000.0,877274595328.0,1
567,3588,3295,9,913,4,3627,28,2,22,75,270025.325,84289.79375,-0.5937333703041077,802991964160.0,1312752533504.0,1
568,4185,2846,20,323,1,3535,40,12,93,18,260196.05,91077.25,-0.6138075590133667,959881543680.0,776222736384.0,1
569,2146,3169,20,178,5,1592,20,14,34,49,281490.575,107359.825,-0.5785812735557556,534051848192.0,683593760768.0,1
570,7668,3337,744,106,4,2561,74,60,86,81,153000.925,60244.175,-0.666137158870697,5237551136768.0,1082043531264.0,1
571,5707,2562,22,145,5,2443,12,39,40,50,245752.05,82693.725,-0.5294371247291565,1195235344384.0,675181232128.0,1
572,7250,3225,15,42,4,365,73,92,98,2,135230.9375,81662.84375,-0.6558651328086853,1352195244032.0,1025453719552.0,1
573,5876,3122,535,225,3,5367,10,32,8,86,251569.925,73428.25,-0.5658590197563171,3957881831424.0,673725284352.0,1
574,4615,3307,492,98,3,5266,58,66,25,65,171011.2875,78412.94375,-0.6424497961997986,3514522664960.0,938482794496.0,1
575,7908,3254,2,65,34,1524,99,93,16,97,105187.625,62804.625,-0.7001223564147949,1442460205056.0,2229155135488.0,1
576,3904,2293,8,93,3,3075,23,47,30,99,236401.7,86359.51875,-0.43229514360427856,832744325120.0,731049230336.0,1
577,8061,3648,1806,679,50,5635,89,95,54,85,111285.525,59298.96875,-0.6919366121292114,10855543472128.0,3213220642816.0,1
578,7736,3345,163,389,4,315,88,8,97,85,177886.775,59950.56875,-0.6855713725090027,2192733634560.0,1276522397696.0,1
579,7567,3426,0,561,58,1716,72,80,10,93,140379.225,65158.1125,-0.6611300706863403,1379863101440.0,3232771342336.0,1
580,3771,3600,221,86,3,5123,77,97,14,53,128058.2875,85276.3375,-0.6724525094032288,1974862872576.0,1122556706816.0,1
581,8154,3232,963,78,4,6427,37,66,20,78,186023.975,66748.1,-0.6093835234642029,6584465358848.0,823588618240.0,1
582,4426,2834,24,322,0,2544,20,74,26,17,221647.25,98292.6875,-0.5817545652389526,986163314688.0,822646800384.0,1
583,7682,3294,6,977,4,3626,30,61,42,84,198168.775,65555.11875,-0.5968955755233765,1500279078912.0,1567243632640.0,1
584,7019,2574,500,129,4,4791,36,81,94,90,174377.3875,61383.2875,-0.5859447717666626,3956643725312.0,965152866304.0,1
585,6434,3964,238,97,8,595,89,82,41,62,124744.1375,72048.0625,-0.686945915222168,2360296079360.0,1316405772288.0,1
586,6404,3189,8,106,9,2659,48,90,56,61,157080.0875,72209.68125,-0.6238400340080261,1252768612352.0,1149412311040.0,1
587,4185,2974,20,323,1,3535,87,12,93,18,202493.275,87147.625,-0.6886877417564392,959881543680.0,1057852686336.0,1
588,1352,3181,35,674,5,1899,72,44,18,90,192200.975,95885.8375,-0.6118770241737366,483831709696.0,1588921499648.0,1
589,7803,2971,849,66,0,2301,58,97,9,74,147404.75,69684.575,-0.6410792469978333,5789167124480.0,925957488640.0,1
590,3767,3375,6,950,27,4555,99,61,85,91,133180.775,66599.825,-0.7081521153450012,852645642240.0,2739233357824.0,1
591,7995,2961,142,85,0,6099,15,4,40,12,293264.9,80498.6625,-0.5764261484146118,2341301125120.0,320890798080.0,1
592,6099,3663,87,1098,23,7537,82,66,97,89,141160.5125,58922.38125,-0.681853175163269,1782103539712.0,2630691586048.0,1
593,7381,3088,1340,65,3,7547,4,82,43,78,204627.7875,68701.05625,-0.5574488043785095,8420999036928.0,655602876416.0,1
594,7068,3814,1270,160,1,7180,62,83,55,19,154186.625,76840.31875,-0.6493399143218994,7994723008512.0,950793404416.0,1
595,7811,3848,246,66,3,3308,8,47,18,100,234609.45,65508.125,-0.5605889558792114,2739934593024.0,588663554048.0,1
596,2421,2806,13,453,6,5583,80,39,92,32,183188.525,97396.8375,-0.6786681413650513,691675594752.0,1408016580608.0,1
597,8572,3115,20,942,3,6645,75,69,22,86,144081.2875,61832.475,-0.6700459122657776,1837023625216.0,1772059885568.0,1
598,4453,3561,1273,42,4,2573,71,88,78,76,138602.375,70258.875,-0.6618679761886597,7386800586752.0,1106156847104.0,1
599,267,3722,1,1982,7,612,88,92,41,71,144590.2375,121271.675,-0.5194194912910461,73925107712.0,3074435842048.0,1
600,6215,2305,311,109,2,5143,24,80,38,23,196669.0375,88843.3625,-0.46292442083358765,2861843873792.0,709118525440.0,1
601,1869,3342,15,295,0,5195,7,29,40,16,308934.025,117096.2625,-0.5623028874397278,591669100544.0,573523689472.0,1
602,2018,2897,11,177,5,1540,7,12,42,38,303727.2,115702.55,-0.5390520691871643,463792668672.0,586804035584.0,1
603,6395,3337,1612,146,4,4723,74,95,94,90,126446.1,59323.875,-0.6683060526847839,9538975563776.0,1237815918592.0,1
604,7812,2021,1033,76,1,571,94,93,41,18,127733.425,95442.475,-0.3977217376232147,6669703053312.0,1086735187968.0,1
605,6517,3313,1478,45,1,7268,94,35,41,94,159761.425,61900.8125,-0.7004965543746948,8966976307200.0,986497810432.0,1
606,2525,3073,20,113,6,1483,27,14,38,49,272014.4,105582.1125,-0.5890957713127136,596051886080.0,704214204416.0,1
607,7803,3318,9,67,4,2067,7,61,17,3,227064.95,88131.4125,-0.554593026638031,1479830405120.0,532052967424.0,1
608,7721,3433,32,205,4,531,17,67,91,28,209379.025,77547.9125,-0.5726460218429565,1527282532352.0,800696303616.0,1
609,197,3950,1,83,39,4364,78,60,53,60,178168.6,110938.3875,-0.5664424300193787,198612484096.0,2271224004608.0,1
610,6907,2846,1032,108,6,4555,82,82,41,98,128663.625,60756.925,-0.6807414293289185,6652376383488.0,1258221338624.0,1
611,4466,3489,1008,50,4,533,87,63,14,18,148529.4125,95767.16875,-0.6837462782859802,5957845254144.0,1031184449536.0,1
612,4538,3297,7,674,7,7828,42,99,10,81,156593.5375,77211.58125,-0.6174054145812988,1111380459520.0,1590038888448.0,1
613,1139,3825,39,216,1,7187,7,18,40,16,314862.1,121285.85,-0.5609036087989807,660138885120.0,488713617408.0,1
614,182,3858,19,725,5,430,40,27,53,37,268080.075,141006.575,-0.4461236000061035,144648945664.0,1340953198592.0,1
615,2427,3133,6,1214,58,6843,94,94,36,64,118510.875,90200.0375,-0.7005623579025269,702844764160.0,4029762502656.0,1
616,5748,3081,9,45,0,5515,11,32,22,34,276559.15,85063.3625,-0.5661177039146423,1247879102464.0,385833926656.0,1
617,6147,3350,1677,145,1,7180,77,95,33,85,128572.5,66579.50625,-0.6732643246650696,9918236065792.0,1142475194368.0,1
618,2562,3309,504,445,11,2355,100,69,26,4,136363.25,109570.075,-0.7079246044158936,3112383283200.0,1708618416128.0,1
619,6325,3325,7,295,0,3187,7,47,24,2,259453.5,90067.1875,-0.5613649487495422,1253157896192.0,583515439104.0,1
620,3165,3949,3,974,5,5708,69,61,23,57,167680.45,86068.9125,-0.6598891019821167,774550978560.0,1811000852480.0,1
